time,open,high,low,close,Basis,Upper,Lower,Plot,Plot
1637091000,1.13212,1.13243,1.13161,1.13167,1.1363321999999945,1.140998323377545,1.131666076622444,15.434594844038507,32.434728580072466
1637092800,1.13167,1.13216,1.13153,1.13214,1.1361957999999945,1.1409905969062657,1.1314010030937234,14.245813589042946,27.383285642537103
1637094600,1.13214,1.13231,1.13118,1.13127,1.1360499999999945,1.1410691109895386,1.1310308890104503,13.878843849801932,23.227872935962807
1637096400,1.13127,1.13184,1.13089,1.13174,1.1359457999999945,1.141174985154002,1.1307166148459868,18.605662621090183,21.22581257579954
1637098200,1.13174,1.13202,1.13168,1.132,1.1358653999999946,1.1412736765620464,1.1304571234379428,23.94520151437099,20.854931523746686
1637100000,1.132,1.13225,1.13177,1.13217,1.1357691999999946,1.141313866006614,1.1302245339933752,31.378809169262038,21.085689003193913
1637101800,1.13217,1.13226,1.132,1.1320999999999999,1.1356763999999946,1.141355710620355,1.1299970893796343,40.692305523751585,22.65767729681909
1637103600,1.1320999999999999,1.1320999999999999,1.13134,1.13135,1.1355723999999945,1.1414402180887406,1.1297045819112483,46.190196003950454,25.546428389413578
1637105400,1.13135,1.13184,1.13097,1.1318,1.1354771999999946,1.1414798328490712,1.129474567150918,58.69019600395045,30.953378534402567
1637107200,1.1318,1.13233,1.13141,1.1323,1.1353793999999946,1.1414512148334026,1.1293075851665866,66.88160503876347,37.53285246561764
1637109000,1.1323,1.13231,1.13171,1.13223,1.1352899999999948,1.1414413271022583,1.1291386728977313,78.47388159725435,45.607232184049195
1637110800,1.13223,1.13266,1.13203,1.13264,1.1351963999999948,1.1413727070778443,1.1290200929221452,86.24706282596611,54.06240720965869
1637112600,1.13264,1.13267,1.13218,1.1323,1.1350953999999946,1.141304418068274,1.1288863819317152,90.09082147028685,62.330609704148166
1637114400,1.1323,1.13231,1.13195,1.13213,1.1349889999999947,1.1412249707641737,1.1287530292358157,88.75748338776273,69.50294398146076
1637116200,1.13213,1.1324,1.13188,1.13217,1.1348743999999946,1.1410984946426241,1.128650305357365,87.08020704795152,75.30143167198574
1637118000,1.13217,1.13219,1.13106,1.13115,1.1347331999999948,1.1409748232760668,1.1284915767239228,83.8340178426258,80.00690940182017
1637119800,1.13115,1.13121,1.12634,1.1288799999999999,1.1345445999999948,1.1409803482369187,1.1281088517630709,71.3340178426258,81.58738713165458
1637121600,1.1288799999999999,1.13013,1.1288799999999999,1.12978,1.134374399999995,1.1408799344989486,1.1278688655010412,64.01390873111917,81.22892509319905
1637123400,1.12978,1.13014,1.12953,1.12982,1.1342059999999947,1.1407534957137573,1.1276585042862322,57.30764734129646,78.5831458112043
1637125200,1.12982,1.13029,1.12915,1.12918,1.1340281999999948,1.1406586896024473,1.1273977103975423,48.36608710030431,73.84802384549658
